192.168.1.1,74:24:9f:f7:af:e8,TIBRO Corp.,Web-enabled Device
192.168.1.63,a4:77:33:a9:b6:70,"Google, Inc.",Google Device
192.168.1.94,12:42:3a:d3:ca:db,Unknown,Unknown Device
